incident_id,speed_kmh,vehicle_age_years,vehicle_value_inr,occupants,airbag_deployed,collision_type,road_condition,weather,vehicle_type,insurance_type,seatbelt_worn,previous_accidents,driver_age,tyre_condition,collision_enc,road_enc,weather_enc,vehicle_type_enc,tyre_enc,damage_severity,parts_damaged,repair_cost_inr
600,108,16,521373,3,1,Side,Gravel,Clear,Hatchback,Comprehensive,0,0,18,Bald,1.3,1.2,1.0,0.85,1.35,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",664500
850,35,17,1161069,2,0,Rollover,Icy,Clear,Truck,Comprehensive,1,2,20,Good,2.2,1.8,1.0,1.5,1.0,Moderate,"Bumper, Door Panel",1014600
266,36,15,2840034,5,0,Rear-end,Icy,Rain,SUV,Comprehensive,1,2,62,Good,1.0,1.8,1.25,1.3,1.0,Moderate,"Bumper, Door Panel",842900
996,80,15,2572919,5,1,Side,Dry,Clear,Hatchback,Comprehensive,0,3,48,Bald,1.3,1.0,1.0,0.85,1.35,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",626400
530,103,3,2210947,4,1,Head-on,Gravel,Clear,Hatchback,Third-party,0,1,59,Worn,1.8,1.2,1.0,0.85,1.15,Critical,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine",921200
56,58,6,2756070,3,1,Side,Dry,Clear,Hatchback,None,1,4,62,Good,1.3,1.0,1.0,0.85,1.0,Moderate,"Bumper, Door Panel, Headlights/Taillights, Radiator",390100
121,49,10,1995675,3,1,Side,Dry,Clear,Sedan,Third-party,0,3,31,Good,1.3,1.0,1.0,1.0,1.0,Moderate,"Bumper, Door Panel, Headlights/Taillights",397700
216,37,12,1536497,4,0,Head-on,Dry,Clear,Truck,Comprehensive,1,2,25,Good,1.8,1.0,1.0,1.5,1.0,Moderate,"Bumper, Hood",542000
26,19,16,2396594,2,0,Rollover,Dry,Rain,SUV,Comprehensive,1,2,51,Good,2.2,1.0,1.25,1.3,1.0,Minor,Bumper,904600
73,49,16,1634742,1,1,Head-on,Wet,Clear,Sedan,Third-party,1,3,31,Good,1.8,1.3,1.0,1.0,1.0,Moderate,"Bumper, Hood, Headlights/Taillights",667400
45,88,8,2420464,3,1,Rollover,Dry,Clear,Truck,Third-party,1,0,40,Good,2.2,1.0,1.0,1.5,1.0,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",1354900
248,128,12,2930146,3,1,Pole,Wet,Clear,Two-wheeler,Comprehensive,1,1,39,Bald,1.5,1.3,1.0,0.6,1.35,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",990800
722,51,7,2971252,2,1,Rear-end,Gravel,Rain,Sedan,Comprehensive,0,4,27,Good,1.0,1.2,1.25,1.0,1.0,Moderate,"Bumper, Door Panel, Headlights/Taillights",583300
282,24,10,2514387,1,0,Rear-end,Gravel,Clear,Sedan,Comprehensive,1,1,25,Bald,1.0,1.2,1.0,1.0,1.35,Minor,Bumper,402000
894,108,11,1679390,4,1,Head-on,Wet,Rain,Hatchback,Third-party,1,1,69,Good,1.8,1.3,1.25,0.85,1.0,Critical,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine",1060200
915,59,19,545404,3,1,Rollover,Dry,Rain,Sedan,Comprehensive,1,2,22,Good,2.2,1.0,1.25,1.0,1.0,Moderate,"Bumper, Door Panel, Headlights/Taillights, Radiator",607100
811,51,7,492512,3,1,Rear-end,Gravel,Clear,SUV,Third-party,1,0,64,Worn,1.0,1.2,1.0,1.3,1.15,Moderate,"Bumper, Door Panel, Headlights/Taillights",297300
245,121,15,2464412,1,1,Head-on,Wet,Fog,Hatchback,Comprehensive,1,0,22,Good,1.8,1.3,1.15,0.85,1.0,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1277400
823,30,3,947341,3,0,Side,Dry,Clear,Sedan,Third-party,1,3,66,Good,1.3,1.0,1.0,1.0,1.0,Moderate,"Bumper, Door Panel",137700
322,23,17,598871,5,0,Pole,Wet,Clear,Hatchback,Comprehensive,1,4,23,Worn,1.5,1.3,1.0,0.85,1.15,Minor,Bumper,235400
644,82,17,2188806,2,1,Head-on,Dry,Clear,SUV,Third-party,0,0,51,Good,1.8,1.0,1.0,1.3,1.0,Severe,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame",941300
159,58,12,2818638,1,1,Rear-end,Dry,Rain,Sedan,Comprehensive,1,0,37,Good,1.0,1.0,1.25,1.0,1.0,Moderate,"Bumper, Door Panel, Headlights/Taillights, Radiator",454300
978,29,8,2921578,4,1,Head-on,Dry,Clear,SUV,Comprehensive,1,3,56,Good,1.8,1.0,1.0,1.3,1.0,Minor,"Bumper, Hood",742500
430,29,14,2100830,4,0,Side,Wet,Fog,Sedan,None,1,2,44,Good,1.3,1.3,1.15,1.0,1.0,Minor,"Bumper, Door Panel",426800
942,36,17,2512750,1,1,Pole,Gravel,Rain,Sedan,Third-party,1,0,53,Worn,1.5,1.2,1.25,1.0,1.15,Moderate,"Bumper, Hood",800200
463,43,8,2495004,1,1,Pole,Dry,Clear,SUV,Third-party,1,0,50,Good,1.5,1.0,1.0,1.3,1.0,Moderate,"Bumper, Hood, Headlights/Taillights",594000
310,120,4,1539444,4,1,Head-on,Dry,Rain,Sedan,Comprehensive,0,4,26,Worn,1.8,1.0,1.25,1.0,1.15,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1229700
698,35,17,1858242,5,0,Head-on,Icy,Snow,Hatchback,Third-party,1,1,32,Good,1.8,1.8,1.4,0.85,1.0,Moderate,"Bumper, Hood",860800
61,18,11,855462,5,0,Side,Gravel,Clear,Hatchback,Third-party,1,3,63,Worn,1.3,1.2,1.0,0.85,1.15,Minor,Bumper,171000
885,67,7,2197501,3,1,Rollover,Wet,Fog,Sedan,Third-party,1,1,57,Worn,2.2,1.3,1.15,1.0,1.15,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator",1255800
596,99,4,490237,3,1,Side,Dry,Clear,Truck,Comprehensive,1,4,55,Good,1.3,1.0,1.0,1.5,1.0,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",536100
768,39,13,1913447,1,0,Side,Icy,Fog,Hatchback,Comprehensive,0,1,24,Good,1.3,1.8,1.15,0.85,1.0,Moderate,"Bumper, Door Panel",534300
650,11,14,1173093,2,0,Rear-end,Wet,Rain,Sedan,Comprehensive,1,0,20,Good,1.0,1.3,1.25,1.0,1.0,Minor,Bumper,249600
651,7,14,1109178,1,0,Head-on,Icy,Fog,Hatchback,Comprehensive,1,3,62,Worn,1.8,1.8,1.15,0.85,1.15,Minor,Minor scratches,507400
866,119,3,1443051,1,1,Rear-end,Dry,Clear,Sedan,Comprehensive,1,0,67,Good,1.0,1.0,1.0,1.0,1.0,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",407500
669,71,18,1270834,4,1,Head-on,Wet,Fog,Sedan,Comprehensive,1,4,37,Good,1.8,1.3,1.15,1.0,1.0,Severe,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame",794900
299,19,1,924771,2,0,Rear-end,Icy,Rain,Sedan,None,1,4,68,Good,1.0,1.8,1.25,1.0,1.0,Minor,Bumper,212400
690,8,1,858516,4,0,Side,Dry,Rain,SUV,None,1,3,33,Good,1.3,1.0,1.25,1.3,1.0,Minor,Minor scratches,191500
315,56,3,1638486,3,1,Head-on,Gravel,Fog,Sedan,Comprehensive,1,0,30,Good,1.8,1.2,1.15,1.0,1.0,Moderate,"Bumper, Hood, Headlights/Taillights, Radiator",597500
311,98,3,2227205,5,1,Head-on,Dry,Rain,Hatchback,None,1,0,45,Good,1.8,1.0,1.25,0.85,1.0,Critical,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine",757100
362,100,19,963689,4,1,Rear-end,Wet,Clear,Truck,Third-party,1,4,44,Good,1.0,1.3,1.0,1.5,1.0,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",729100
480,51,8,1938497,1,1,Side,Dry,Clear,Sedan,Comprehensive,1,4,28,Worn,1.3,1.0,1.0,1.0,1.15,Moderate,"Bumper, Door Panel, Headlights/Taillights",419200
111,56,9,2821279,2,1,Side,Dry,Fog,Hatchback,Comprehensive,1,3,68,Bald,1.3,1.0,1.15,0.85,1.35,Moderate,"Bumper, Door Panel, Headlights/Taillights, Radiator",621700
990,46,1,994780,2,1,Rear-end,Dry,Rain,Sedan,Comprehensive,1,4,19,Good,1.0,1.0,1.25,1.0,1.0,Moderate,"Bumper, Door Panel, Headlights/Taillights",250000
487,5,12,2467354,3,0,Head-on,Dry,Fog,Hatchback,Comprehensive,1,4,47,Good,1.8,1.0,1.15,0.85,1.0,Minor,Minor scratches,419900
364,73,18,1395426,1,1,Head-on,Dry,Clear,Sedan,Comprehensive,0,2,52,Worn,1.8,1.0,1.0,1.0,1.15,Severe,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame",645300
255,120,7,404555,4,1,Head-on,Dry,Clear,Hatchback,Third-party,1,4,42,Bald,1.8,1.0,1.0,0.85,1.35,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",784700
260,58,0,2962761,5,1,Side,Dry,Clear,Sedan,Third-party,0,2,29,Good,1.3,1.0,1.0,1.0,1.0,Moderate,"Bumper, Door Panel, Headlights/Taillights, Radiator",481200
803,70,14,1155080,1,1,Rear-end,Wet,Clear,Hatchback,None,1,3,37,Bald,1.0,1.3,1.0,0.85,1.35,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator",444400
678,46,5,1376941,3,1,Head-on,Dry,Rain,Sedan,Comprehensive,0,3,56,Worn,1.8,1.0,1.25,1.0,1.15,Moderate,"Bumper, Hood, Headlights/Taillights",607500
495,106,20,580852,5,1,Side,Dry,Fog,SUV,Third-party,1,1,32,Good,1.3,1.0,1.15,1.3,1.0,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",691100
671,115,13,2936722,3,1,Side,Dry,Clear,Two-wheeler,Third-party,1,1,31,Worn,1.3,1.0,1.0,0.6,1.15,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",495200
378,78,7,2920308,2,1,Head-on,Wet,Rain,Sedan,Comprehensive,0,0,49,Good,1.8,1.3,1.25,1.0,1.0,Severe,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame",1200500
527,31,1,1528807,2,0,Pole,Dry,Clear,Hatchback,Comprehensive,1,3,33,Worn,1.5,1.0,1.0,0.85,1.15,Moderate,"Bumper, Hood",238600
846,76,1,2842017,1,1,Rear-end,Dry,Fog,SUV,None,1,4,21,Worn,1.0,1.0,1.15,1.3,1.15,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",705500
138,7,1,1900946,4,0,Side,Wet,Fog,Sedan,Comprehensive,1,3,27,Worn,1.3,1.3,1.15,1.0,1.15,Minor,Minor scratches,393400
356,105,16,1865070,4,1,Head-on,Wet,Fog,Hatchback,Comprehensive,1,0,64,Worn,1.8,1.3,1.15,0.85,1.15,Critical,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine",1113700
366,20,2,2626133,2,0,Rear-end,Dry,Rain,Sedan,Third-party,1,2,45,Good,1.0,1.0,1.25,1.0,1.0,Minor,Bumper,284100
943,124,12,2647252,3,1,Pole,Dry,Fog,Sedan,Comprehensive,1,1,41,Good,1.5,1.0,1.15,1.0,1.0,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",990600
750,66,11,853091,3,1,Head-on,Wet,Rain,Sedan,Comprehensive,1,4,64,Worn,1.8,1.3,1.25,1.0,1.15,Severe,"Bumper, Hood, Headlights/Taillights, Radiator",753000
949,89,0,1904642,1,1,Head-on,Wet,Rain,Hatchback,Comprehensive,1,1,40,Good,1.8,1.3,1.25,0.85,1.0,Severe,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame",855400
830,42,2,1287073,2,1,Side,Wet,Clear,SUV,Third-party,1,0,65,Worn,1.3,1.3,1.0,1.3,1.15,Moderate,"Bumper, Door Panel, Headlights/Taillights",450700
657,19,17,1613379,3,1,Side,Dry,Fog,Truck,Comprehensive,1,4,67,Good,1.3,1.0,1.15,1.5,1.0,Minor,Bumper,557500
200,135,4,2268541,5,1,Side,Wet,Clear,Truck,Third-party,0,3,59,Worn,1.3,1.3,1.0,1.5,1.15,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1695000
214,58,2,2959083,3,1,Side,Dry,Rain,SUV,None,1,3,56,Good,1.3,1.0,1.25,1.3,1.0,Moderate,"Bumper, Door Panel, Headlights/Taillights, Radiator",722100
409,103,12,786799,5,1,Side,Wet,Rain,Truck,Comprehensive,1,4,19,Good,1.3,1.3,1.25,1.5,1.0,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",1170900
333,5,5,2572158,2,0,Head-on,Wet,Clear,Hatchback,Comprehensive,1,2,38,Worn,1.8,1.3,1.0,0.85,1.15,Minor,Minor scratches,502000
209,103,2,2690137,4,1,Side,Dry,Snow,Two-wheeler,Third-party,1,3,36,Worn,1.3,1.0,1.4,0.6,1.15,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",613000
614,5,2,2831086,4,0,Side,Dry,Clear,SUV,Third-party,1,4,27,Worn,1.3,1.0,1.0,1.3,1.15,Minor,Minor scratches,505300
79,133,20,2026676,3,1,Head-on,Dry,Clear,SUV,Comprehensive,1,0,23,Worn,1.8,1.0,1.0,1.3,1.15,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1603800
30,68,1,1791633,2,1,Head-on,Dry,Fog,Sedan,Comprehensive,1,1,51,Good,1.8,1.0,1.15,1.0,1.0,Severe,"Bumper, Hood, Headlights/Taillights, Radiator",586000
536,106,11,519055,1,1,Pole,Dry,Snow,Truck,Comprehensive,1,3,66,Bald,1.5,1.0,1.4,1.5,1.35,Critical,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine",1346200
696,59,5,1657453,1,1,Rear-end,Dry,Clear,Two-wheeler,Third-party,1,3,45,Bald,1.0,1.0,1.0,0.6,1.35,Moderate,"Bumper, Door Panel, Headlights/Taillights, Radiator",207900
558,16,14,2792959,5,0,Side,Wet,Rain,Truck,Comprehensive,1,3,48,Good,1.3,1.3,1.25,1.5,1.0,Minor,Bumper,867600
837,108,4,2955982,1,1,Pole,Dry,Clear,Truck,Third-party,1,2,25,Bald,1.5,1.0,1.0,1.5,1.35,Critical,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine",1570400
597,122,11,1156047,2,1,Rear-end,Dry,Clear,Sedan,None,1,2,41,Worn,1.0,1.0,1.0,1.0,1.15,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",519900
166,127,0,1602887,1,1,Side,Wet,Rain,Sedan,Comprehensive,0,3,49,Good,1.3,1.3,1.25,1.0,1.0,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1035700
919,14,18,868302,1,0,Pole,Dry,Fog,Hatchback,Comprehensive,1,0,20,Good,1.5,1.0,1.15,0.85,1.0,Minor,Bumper,183500
496,121,18,888158,4,1,Rear-end,Dry,Clear,Sedan,Third-party,1,1,68,Worn,1.0,1.0,1.0,1.0,1.15,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",488200
825,31,0,2387342,1,0,Head-on,Wet,Clear,SUV,Third-party,1,3,56,Good,1.8,1.3,1.0,1.3,1.0,Moderate,"Bumper, Hood",626200
66,86,11,894305,2,1,Side,Icy,Rain,Hatchback,Comprehensive,0,2,41,Good,1.3,1.8,1.25,0.85,1.0,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",733800
142,63,2,1174772,2,1,Rear-end,Dry,Rain,SUV,Third-party,1,3,45,Worn,1.0,1.0,1.25,1.3,1.15,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator",462700
926,97,20,1742721,5,1,Head-on,Icy,Rain,Sedan,Third-party,1,3,59,Bald,1.8,1.8,1.25,1.0,1.35,Critical,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine",2259300
828,78,14,2464563,1,1,Rear-end,Dry,Rain,Two-wheeler,None,1,2,69,Good,1.0,1.0,1.25,0.6,1.0,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",282700
656,119,17,1021037,5,1,Side,Dry,Clear,Sedan,Third-party,0,0,46,Good,1.3,1.0,1.0,1.0,1.0,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",560000
332,126,0,2550041,4,1,Rollover,Dry,Fog,Hatchback,Comprehensive,1,3,47,Good,2.2,1.0,1.15,0.85,1.0,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1171900
665,29,13,2643335,3,0,Side,Dry,Rain,Hatchback,Comprehensive,1,3,69,Good,1.3,1.0,1.25,0.85,1.0,Minor,"Bumper, Door Panel",361100
250,28,17,2743282,4,0,Side,Dry,Rain,SUV,Third-party,1,4,63,Good,1.3,1.0,1.25,1.3,1.0,Minor,"Bumper, Door Panel",596300
908,119,9,1299430,2,1,Head-on,Wet,Clear,Hatchback,Comprehensive,1,2,60,Bald,1.8,1.3,1.0,0.85,1.35,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1154800
709,98,11,2714165,2,1,Head-on,Dry,Clear,Hatchback,Third-party,0,4,32,Worn,1.8,1.0,1.0,0.85,1.15,Critical,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine",860700
306,9,9,1463490,1,0,Rollover,Wet,Rain,SUV,Comprehensive,1,3,52,Bald,2.2,1.3,1.25,1.3,1.35,Minor,Minor scratches,932900
735,134,20,1095600,1,1,Rollover,Wet,Fog,Sedan,Third-party,1,4,58,Worn,2.2,1.3,1.15,1.0,1.15,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",2024000
976,13,19,2921780,1,0,Side,Gravel,Clear,Two-wheeler,Comprehensive,1,2,27,Good,1.3,1.2,1.0,0.6,1.0,Minor,Bumper,272000
50,85,7,1844613,4,1,Rear-end,Wet,Rain,Hatchback,Comprehensive,0,0,51,Good,1.0,1.3,1.25,0.85,1.0,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",472700
897,5,16,315434,4,0,Side,Dry,Clear,Hatchback,Comprehensive,0,3,35,Good,1.3,1.0,1.0,0.85,1.0,Minor,Minor scratches,97100
3,19,7,1550956,5,1,Head-on,Icy,Clear,Hatchback,Comprehensive,1,1,34,Good,1.8,1.8,1.0,0.85,1.0,Minor,Bumper,577300
545,55,7,2607697,5,1,Side,Wet,Clear,Sedan,Comprehensive,0,4,19,Worn,1.3,1.3,1.0,1.0,1.15,Moderate,"Bumper, Door Panel, Headlights/Taillights",722800
351,98,14,2169059,5,1,Rollover,Dry,Snow,Hatchback,Third-party,0,2,31,Worn,2.2,1.0,1.4,0.85,1.15,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",1367600
905,22,12,2112375,5,0,Side,Dry,Clear,SUV,Third-party,1,4,64,Worn,1.3,1.0,1.0,1.3,1.15,Minor,Bumper,447300
537,7,2,2333901,3,0,Rollover,Dry,Fog,SUV,Comprehensive,1,0,31,Worn,2.2,1.0,1.15,1.3,1.15,Minor,Minor scratches,784400
345,97,8,1591210,2,1,Rear-end,Wet,Fog,Truck,None,0,2,47,Worn,1.0,1.3,1.15,1.5,1.15,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",972400
995,126,13,477912,3,1,Rear-end,Dry,Clear,SUV,Comprehensive,1,1,46,Good,1.0,1.0,1.0,1.3,1.0,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",531000
482,122,13,2803292,5,1,Side,Dry,Clear,SUV,Comprehensive,1,1,68,Good,1.3,1.0,1.0,1.3,1.0,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",963200
576,83,10,588963,3,1,Side,Wet,Clear,Sedan,Comprehensive,1,0,62,Good,1.3,1.3,1.0,1.0,1.0,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",402000
34,25,3,1504680,3,0,Head-on,Dry,Clear,Truck,Third-party,0,3,24,Good,1.8,1.0,1.0,1.5,1.0,Minor,Bumper,443800
32,55,4,1833854,3,1,Side,Dry,Clear,Truck,Third-party,0,0,36,Worn,1.3,1.0,1.0,1.5,1.15,Moderate,"Bumper, Door Panel, Headlights/Taillights",595800
232,31,14,2541281,5,0,Rear-end,Gravel,Clear,Sedan,Comprehensive,1,4,23,Good,1.0,1.2,1.0,1.0,1.0,Moderate,"Bumper, Door Panel",345300
964,57,16,1757640,2,1,Rear-end,Dry,Rain,SUV,Third-party,0,0,29,Good,1.0,1.0,1.25,1.3,1.0,Moderate,"Bumper, Door Panel, Headlights/Taillights, Radiator",461200
193,6,9,1524648,2,0,Side,Dry,Clear,Two-wheeler,Comprehensive,0,3,32,Good,1.3,1.0,1.0,0.6,1.0,Minor,Minor scratches,125800
334,38,14,2085516,1,0,Head-on,Icy,Clear,SUV,Third-party,1,4,18,Worn,1.8,1.8,1.0,1.3,1.15,Moderate,"Bumper, Hood",1264400
4,111,1,1790036,1,1,Head-on,Gravel,Clear,SUV,None,0,1,45,Bald,1.8,1.2,1.0,1.3,1.35,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1631900
205,117,2,1185421,1,1,Pole,Wet,Clear,Sedan,Third-party,1,3,33,Good,1.5,1.3,1.0,1.0,1.0,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",786400
515,113,4,1177611,5,1,Rear-end,Wet,Rain,SUV,Comprehensive,0,3,52,Worn,1.0,1.3,1.25,1.3,1.15,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",988000
800,101,11,2432786,1,1,Rollover,Dry,Fog,Sedan,Comprehensive,0,3,61,Worn,2.2,1.0,1.15,1.0,1.15,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",1365900
307,107,8,847993,4,1,Rollover,Gravel,Clear,Sedan,Comprehensive,1,0,23,Worn,2.2,1.2,1.0,1.0,1.15,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",1112700
110,100,17,1401928,2,1,Rollover,Dry,Fog,Sedan,Third-party,1,3,29,Bald,2.2,1.0,1.15,1.0,1.35,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",1445500
431,127,15,2259310,1,1,Side,Dry,Rain,SUV,None,1,4,57,Good,1.3,1.0,1.25,1.3,1.0,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1205100
78,92,7,1409004,1,1,Head-on,Dry,Fog,Sedan,None,0,1,48,Good,1.8,1.0,1.15,1.0,1.0,Critical,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine",724400
85,127,17,2843788,5,1,Head-on,Dry,Clear,Hatchback,Comprehensive,1,1,20,Good,1.8,1.0,1.0,0.85,1.0,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",924200
287,102,1,966165,1,1,Rollover,Wet,Clear,Truck,None,1,1,46,Good,2.2,1.3,1.0,1.5,1.0,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",1380500
83,140,5,2937492,5,1,Head-on,Dry,Clear,Sedan,Third-party,1,4,20,Worn,1.8,1.0,1.0,1.0,1.15,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1386700
992,45,3,2155227,5,1,Rollover,Wet,Rain,Hatchback,Comprehensive,1,4,21,Good,2.2,1.3,1.25,0.85,1.0,Moderate,"Bumper, Door Panel, Headlights/Taillights",870900
790,108,12,2533706,5,1,Side,Dry,Rain,SUV,Comprehensive,0,1,27,Good,1.3,1.0,1.25,1.3,1.0,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine",1058500
895,53,1,1334262,5,1,Rear-end,Dry,Rain,Sedan,Comprehensive,0,1,21,Good,1.0,1.0,1.25,1.0,1.0,Moderate,"Bumper, Door Panel, Headlights/Taillights",296400
399,25,19,2529655,4,1,Rear-end,Wet,Clear,Hatchback,Third-party,1,4,26,Good,1.0,1.3,1.0,0.85,1.0,Minor,Bumper,365900
324,62,14,1594929,5,1,Rear-end,Wet,Snow,SUV,None,1,3,66,Good,1.0,1.3,1.4,1.3,1.0,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator",663300
520,69,16,2576787,3,1,Rear-end,Dry,Clear,SUV,Third-party,0,0,65,Good,1.0,1.0,1.0,1.3,1.0,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator",473800
917,135,15,317297,4,1,Pole,Wet,Rain,Sedan,Comprehensive,1,3,39,Good,1.5,1.3,1.25,1.0,1.0,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1127100
923,59,7,1858309,3,1,Head-on,Dry,Clear,Hatchback,Third-party,1,2,23,Good,1.8,1.0,1.0,0.85,1.0,Moderate,"Bumper, Hood, Headlights/Taillights, Radiator",449800
6,25,12,1365923,4,0,Head-on,Dry,Fog,Two-wheeler,Comprehensive,1,0,39,Good,1.8,1.0,1.15,0.6,1.0,Minor,Bumper,168300
732,138,15,2100072,2,1,Rear-end,Wet,Clear,SUV,Comprehensive,1,4,65,Good,1.0,1.3,1.0,1.3,1.0,Total Loss,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1045000
466,62,17,1526408,3,1,Rear-end,Dry,Rain,Hatchback,Comprehensive,1,0,67,Good,1.0,1.0,1.25,0.85,1.0,Severe,"Bumper, Door Panel, Headlights/Taillights, Radiator",291600
98,39,14,2029057,3,0,Pole,Wet,Clear,Hatchback,Comprehensive,1,0,61,Worn,1.5,1.3,1.0,0.85,1.15,Moderate,"Bumper, Hood",442100
267,90,8,2872736,2,1,Side,Wet,Clear,Hatchback,Comprehensive,1,1,44,Worn,1.3,1.3,1.0,0.85,1.15,Critical,"Bumper, Door Panel, Headlights/Taillights, Radiator, Airbags, Frame",753900
358,14,20,488490,3,0,Side,Gravel,Rain,Truck,Comprehensive,1,2,33,Good,1.3,1.2,1.25,1.5,1.0,Minor,Bumper,313600
869,121,0,2052374,1,1,Head-on,Wet,Clear,Hatchback,Comprehensive,1,3,52,Bald,1.8,1.3,1.0,0.85,1.35,Total Loss,"Bumper, Hood, Headlights/Taillights, Radiator, Airbags, Frame, Engine, Total Loss",1316400
